field	cf1a.spe
 334.000	
 334.001	 16160
 334.002	 16160
 334.004	 16160
 334.005	 16160
 334.006	 16160
 334.007	 16175
 334.008	 16160
 334.009	 16190
 334.011	 16200
 334.012	 16215
 334.013	 16190
 334.014	 16190
 334.015	 16175
 334.016	 16190
 334.018	 16160
 334.019	 16160
 334.020	 16175
 334.021	 16175
 334.022	 16190
 334.023	 16190
 334.025	 16200
 334.026	 16175
 334.027	 16200
 334.028	 16160
 334.029	 16175
 334.030	 16190
 334.032	 16175
 334.033	 16190
 334.034	 16175
 334.035	 16175
 334.036	 16190
 334.038	 16150
 334.039	 16150
 334.040	 16150
 334.041	 16160
 334.042	 16200
 334.043	 16190
 334.045	 16200
 334.046	 16190
 334.047	 16175
 334.048	 16190
 334.049	 16200
 334.050	 16175
 334.052	 16175
 334.053	 16175
 334.054	 16190
 334.055	 16190
 334.056	 16175
 334.057	 16190
 334.059	 16175
 334.060	 16175
 334.061	 16190
 334.062	 16200
 334.063	 16215
 334.064	 16215
 334.066	 16190
 334.067	 16190
 334.068	 16190
 334.069	 16175
 334.070	 16175
 334.072	 16160
 334.073	 16175
 334.074	 16190
 334.075	 16175
 334.076	 16190
 334.077	 16190
 334.079	 16190
 334.080	 16200
 334.081	 16190
 334.082	 16175
 334.083	 16215
 334.084	 16200
 334.086	 16190
 334.087	 16190
 334.088	 16190
 334.089	 16200
 334.090	 16200
 334.091	 16215
 334.093	 16200
 334.094	 16200
 334.095	 16190
 334.096	 16190
 334.097	 16230
 334.098	 16215
 334.100	 16200
 334.101	 16200
 334.102	 16175
 334.103	 16190
 334.104	 16175
 334.105	 16190
 334.107	 16175
 334.108	 16215
 334.109	 16200
 334.110	 16190
 334.111	 16200
 334.113	 16200
 334.114	 16200
 334.115	 16200
 334.116	 16175
 334.117	 16215
 334.118	 16215
 334.120	 16240
 334.121	 16215
 334.122	 16190
 334.123	 16175
 334.124	 16200
 334.125	 16215
 334.127	 16200
 334.128	 16190
 334.129	 16200
 334.130	 16200
 334.131	 16215
 334.132	 16215
 334.134	 16190
 334.135	 16200
 334.136	 16200
 334.137	 16215
 334.138	 16200
 334.139	 16200
 334.141	 16215
 334.142	 16215
 334.143	 16200
 334.144	 16200
 334.145	 16200
 334.147	 16200
 334.148	 16230
 334.149	 16215
 334.150	 16215
 334.151	 16215
 334.152	 16200
 334.154	 16175
 334.155	 16215
 334.156	 16230
 334.157	 16215
 334.158	 16240
 334.159	 16215
 334.161	 16215
 334.162	 16200
 334.163	 16200
 334.164	 16200
 334.165	 16175
 334.166	 16190
 334.168	 16215
 334.169	 16240
 334.170	 16230
 334.171	 16200
 334.172	 16230
 334.173	 16200
 334.175	 16190
 334.176	 16200
 334.177	 16215
 334.178	 16215
 334.179	 16215
 334.181	 16215
 334.182	 16230
 334.183	 16200
 334.184	 16200
 334.185	 16215
 334.186	 16215
 334.188	 16200
 334.189	 16200
 334.190	 16215
 334.191	 16215
 334.192	 16215
 334.193	 16240
 334.195	 16215
 334.196	 16200
 334.197	 16215
 334.198	 16200
 334.199	 16230
 334.200	 16200
 334.202	 16215
 334.203	 16175
 334.204	 16175
 334.205	 16200
 334.206	 16230
 334.207	 16240
 334.209	 16230
 334.210	 16215
 334.211	 16200
 334.212	 16200
 334.213	 16190
 334.215	 16200
 334.216	 16200
 334.217	 16200
 334.218	 16230
 334.219	 16240
 334.220	 16215
 334.222	 16215
 334.223	 16230
 334.224	 16240
 334.225	 16230
 334.226	 16240
 334.227	 16215
 334.229	 16230
 334.230	 16200
 334.231	 16215
 334.232	 16215
 334.233	 16230
 334.234	 16240
 334.236	 16255
 334.237	 16240
 334.238	 16230
 334.239	 16240
 334.240	 16240
 334.241	 16230
 334.243	 16215
 334.244	 16200
 334.245	 16200
 334.246	 16230
 334.247	 16240
 334.249	 16240
 334.250	 16240
 334.251	 16230
 334.252	 16230
 334.253	 16230
 334.254	 16190
 334.256	 16175
 334.257	 16190
 334.258	 16190
 334.259	 16200
 334.260	 16200
 334.261	 16215
 334.263	 16200
 334.264	 16230
 334.265	 16230
 334.266	 16230
 334.267	 16230
 334.268	 16215
 334.270	 16240
 334.271	 16240
 334.272	 16215
 334.273	 16230
 334.274	 16255
 334.275	 16255
 334.277	 16230
 334.278	 16215
 334.279	 16200
 334.280	 16200
 334.281	 16200
 334.282	 16190
 334.284	 16200
 334.285	 16200
 334.286	 16215
 334.287	 16230
 334.288	 16240
 334.290	 16240
 334.291	 16240
 334.292	 16230
 334.293	 16230
 334.294	 16240
 334.295	 16215
 334.297	 16230
 334.298	 16240
 334.299	 16215
 334.300	 16230
 334.301	 16240
 334.302	 16240
 334.304	 16240
 334.305	 16215
 334.306	 16215
 334.307	 16215
 334.308	 16215
 334.309	 16240
 334.311	 16240
 334.312	 16240
 334.313	 16240
 334.314	 16240
 334.315	 16240
 334.316	 16240
 334.318	 16240
 334.319	 16270
 334.320	 16255
 334.321	 16240
 334.322	 16215
 334.324	 16240
 334.325	 16255
 334.326	 16240
 334.327	 16240
 334.328	 16240
 334.329	 16215
 334.331	 16240
 334.332	 16255
 334.333	 16270
 334.334	 16255
 334.335	 16240
 334.336	 16255
 334.338	 16255
 334.339	 16270
 334.340	 16280
 334.341	 16255
 334.342	 16240
 334.343	 16230
 334.345	 16230
 334.346	 16215
 334.347	 16230
 334.348	 16230
 334.349	 16230
 334.350	 16255
 334.352	 16240
 334.353	 16255
 334.354	 16240
 334.355	 16270
 334.356	 16270
 334.358	 16270
 334.359	 16280
 334.360	 16280
 334.361	 16240
 334.362	 16240
 334.363	 16240
 334.365	 16240
 334.366	 16230
 334.367	 16230
 334.368	 16215
 334.369	 16255
 334.370	 16240
 334.372	 16270
 334.373	 16270
 334.374	 16230
 334.375	 16240
 334.376	 16270
 334.377	 16310
 334.379	 16280
 334.380	 16255
 334.381	 16240
 334.382	 16240
 334.383	 16240
 334.384	 16240
 334.386	 16240
 334.387	 16230
 334.388	 16295
 334.389	 16295
 334.390	 16280
