field	cf4d.spe
 334.000	
 334.001	 16135
 334.002	 16135
 334.004	 16135
 334.005	 16160
 334.006	 16150
 334.007	 16150
 334.008	 16200
 334.009	 16200
 334.011	 16175
 334.012	 16120
 334.013	 16135
 334.014	 16160
 334.015	 16150
 334.016	 16175
 334.018	 16175
 334.019	 16150
 334.020	 16150
 334.021	 16150
 334.022	 16150
 334.023	 16150
 334.025	 16190
 334.026	 16190
 334.027	 16190
 334.028	 16190
 334.029	 16175
 334.030	 16150
 334.032	 16135
 334.033	 16120
 334.034	 16120
 334.035	 16135
 334.036	 16150
 334.038	 16135
 334.039	 16135
 334.040	 16175
 334.041	 16215
 334.042	 16200
 334.043	 16200
 334.045	 16190
 334.046	 16150
 334.047	 16160
 334.048	 16175
 334.049	 16160
 334.050	 16135
 334.052	 16135
 334.053	 16135
 334.054	 16160
 334.055	 16175
 334.056	 16175
 334.057	 16175
 334.059	 16150
 334.060	 16150
 334.061	 16150
 334.062	 16190
 334.063	 16215
 334.064	 16215
 334.066	 16175
 334.067	 16190
 334.068	 16190
 334.069	 16190
 334.070	 16200
 334.072	 16175
 334.073	 16150
 334.074	 16190
 334.075	 16175
 334.076	 16150
 334.077	 16120
 334.079	 16135
 334.080	 16150
 334.081	 16120
 334.082	 16160
 334.083	 16190
 334.084	 16175
 334.086	 16215
 334.087	 16200
 334.088	 16160
 334.089	 16150
 334.090	 16135
 334.091	 16135
 334.093	 16120
 334.094	 16135
 334.095	 16150
 334.096	 16160
 334.097	 16160
 334.098	 16150
 334.100	 16120
 334.101	 16150
 334.102	 16150
 334.103	 16175
 334.104	 16215
 334.105	 16215
 334.107	 16215
 334.108	 16200
 334.109	 16150
 334.110	 16175
 334.111	 16190
 334.113	 16175
 334.114	 16190
 334.115	 16150
 334.116	 16160
 334.117	 16150
 334.118	 16160
 334.120	 16150
 334.121	 16135
 334.122	 16135
 334.123	 16175
 334.124	 16175
 334.125	 16160
 334.127	 16175
 334.128	 16200
 334.129	 16215
 334.130	 16150
 334.131	 16120
 334.132	 16160
 334.134	 16160
 334.135	 16150
 334.136	 16175
 334.137	 16175
 334.138	 16150
 334.139	 16160
 334.141	 16190
 334.142	 16175
